0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.34292826,0.26356798,-0.037667815,-0.25122914,-0.157442,0.70465845,0.2239593,0.875394,-0.13251603,-0.11513586,-0.13869567,-0.11346545,-0.09089221,-0.6897942,0.0
-0.5508741,0.50770915,0.68868566,-0.26190627,-0.157442,0.59010077,0.21583304,0.8514904,-0.13265938,-0.11521061,-0.13890335,-0.11353411,-0.090895884,-0.85275924,0.0
-0.3119188,0.2699907,0.28458422,-0.24050373,-0.157442,0.60987353,0.21415983,0.78033024,-0.13292067,-0.11533865,-0.13927187,-0.11365539,-0.09090163,-0.09858557,1.0
-0.35752097,-0.09901123,0.39421836,-0.2652323,-0.157442,0.2368489,0.08734399,0.96375924,-0.13309541,-0.11542877,-0.13952406,-0.113738514,-0.09090591,-0.96341974,0.0
-0.41771582,-0.38314268,0.56454223,-0.14966811,-0.157442,0.14206396,-0.5656227,0.22183071,-0.13146764,-0.11460412,-0.13719709,-0.112972185,-0.0908691,1.672825,1.0
-0.51530445,-1.572422,0.35897884,-0.24306525,-0.157442,0.6159887,0.2303491,0.8614923,-0.13275515,-0.11525753,-0.1390388,-0.113578714,-0.0908982,-0.16910157,1.0
-0.29641405,0.22694041,1.6657755,-0.20109566,-0.014628101,-0.47556698,-0.3592097,0.5097289,-0.13109979,-0.114414856,-0.1366717,-0.112799056,-0.09086054,0.19320478,1.0
-0.23530716,0.6492426,0.27088004,-0.15420005,-0.157442,-0.029160464,-0.5413388,0.18723704,-0.13168836,-0.11471227,-0.13750659,-0.11307428,-0.09087423,1.3514503,1.0
-0.4386928,-0.0699694,0.114260346,-0.1535104,-0.157442,-0.102542356,-0.5669718,0.2007717,-0.13179871,-0.11476635,-0.13766325,-0.11312553,-0.090875946,1.2714782,1.0
-0.19517726,0.49617517,0.7240988,-0.13134336,-0.15565124,0.14512153,-0.6236342,0.1706743,-0.13165158,-0.114694245,-0.13745883,-0.113058135,-0.090873376,2.1122668,1.0
0.6457266,0.28324118,-1.0750321,-0.26592192,0.18292397,0.11794372,0.1304442,-5.4894266,-0.11079079,-0.10335618,-0.10838677,-0.10246499,-0.08908307,-1.087533,0.0
-0.33745602,0.25154057,0.20823216,-0.24464157,-0.157442,0.7138312,0.18717775,0.9043444,-0.13140327,-0.11456807,-0.13709775,-0.1129391,-0.090867385,-0.5815256,1.0
2.2317698,-1.7967616,-0.4975359,-0.2575477,-0.157442,-0.4449912,1.0627468,-0.7508752,-0.13179871,-0.11477085,-0.13767089,-0.11312836,-0.0908768,-0.91438276,0.0
-0.69680107,0.6123425,0.098598376,-0.24986313,-0.14266816,-0.4877973,0.93728,-0.86291456,-0.13140327,-0.11456807,-0.1371073,-0.11294232,-0.090867385,-0.75605947,0.0
